ID,Name,Specialty,Hospital_Group,City,District,State,Rating_5_Scale,Review_Summary,,,,,,,,
924,Aster Care Hospital,Gastroenterology,City Health Org,Patna,Patna District,Bihar,4.3,Good value for money and efficient treatment.,,,,,,,,
925,Harmony Clinic,Orthopedics,Apollo Group,Dehradun,Dehradun District,Uttarakhand,3.8,Average service; room service needs improvement.,,,,,,,,
926,LifeCare Hospital & Research,Obstetrics & Gynecology,Prime Medical Group,Lucknow,Lucknow District,Uttar Pradesh,4.2,Good value for money and efficient treatment.,,,,,,,,
927,Fortis Hospital & Research,Psychiatry,CarePlus Hospitals,Bhavnagar,Bhavnagar District,Gujarat,4,Average service; room service needs improvement.,,,,,,,,
928,Crystal Medical Center,Endocrinology,Fortis Healthcare,Kanpur,Kanpur District,Uttar Pradesh,3.9,Good value for money and efficient treatment.,,,,,,,,
929,Sanjeevani Super Speciality Hospital,Cardiology,Independent,Amritsar,Amritsar District,Punjab,3.2,"Very skilled specialists, especially in their department.",,,,,,,,
930,Prime Clinic,Psychiatry,City Health Org,Lucknow,Lucknow District,Uttar Pradesh,3.7,Caring doctors and quick emergency response.,,,,,,,,
931,Crystal Care Hospital,Neurology,Independent,Kanpur,Kanpur District,Uttar Pradesh,3.8,Highly recommended for specialized surgery.,,,,,,,,
932,Sujatha Hospital & Research,Neurology,Apollo Group,Jodhpur,Jodhpur District,Rajasthan,4.2,Caring doctors and quick emergency response.,,,,,,,,
933,CarePlus Health Centre,Obstetrics & Gynecology,Manipal Hospitals,Indore,Indore District,Madhya Pradesh,4.5,"Very skilled specialists, especially in their department.",,,,,,,,
934,CarePlus Health Institute,Obstetrics & Gynecology,Narayana Health,Bhopal,Bhopal District,Madhya Pradesh,3.2,Highly recommended for specialized surgery.,,,,,,,,
935,Swasth Medical Center,Orthopedics,City Health Org,Vadodara,Vadodara District,Gujarat,3.3,Good experience overall but long waiting times.,,,,,,,,
936,Raj Hospital & Research,Urology,Narayana Health,Vijayawada,Vijayawada District,Andhra Pradesh,4.5,Caring doctors and quick emergency response.,,,,,,,,
937,City Clinic,ENT,Fortis Healthcare,Raipur,Raipur District,Chhattisgarh,4.7,Modern equipment but billing could be better.,,,,,,,,
938,Sanjeevani Hospital & Research,Cardiology,Fortis Healthcare,Amritsar,Amritsar District,Punjab,4.7,"Very skilled specialists, especially in their department.",,,,,,,,
939,Aster Health Institute,Cardiology,Prime Medical Group,Trivandrum,Trivandrum District,Kerala,3.4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
940,Crystal Hospital,Pediatrics,City Health Org,Thane,Thane District,Maharashtra,3.1,Modern equipment but billing could be better.,,,,,,,,
941,Apollo Care Hospital,ENT,City Health Org,Agra,Agra District,Uttar Pradesh,3.9,Caring doctors and quick emergency response.,,,,,,,,
942,Metro Medical Center,General Surgery,Manipal Hospitals,Nagpur,Nagpur District,Maharashtra,4.7,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
943,Trinity Hospital,General Surgery,Aster DM Healthcare,Indore,Indore District,Madhya Pradesh,4.3,Average service; room service needs improvement.,,,,,,,,
944,Swasth Health Institute,Pediatrics,Prime Medical Group,Hyderabad,Hyderabad District,Telangana,3.2,Good experience overall but long waiting times.,,,,,,,,
945,CarePlus Hospital & Research,Neurology,Apollo Group,Chandigarh,Chandigarh District,Chandigarh,3.9,Good experience overall but long waiting times.,,,,,,,,
946,Global Hospital,Emergency Medicine,Fortis Healthcare,Nagpur,Nagpur District,Maharashtra,3,Modern equipment but billing could be better.,,,,,,,,
947,Prime Hospital,Psychiatry,Manipal Hospitals,Jaipur,Jaipur District,Rajasthan,3.6,Highly recommended for specialized surgery.,,,,,,,,
948,Swasth Health Institute,Pediatrics,Narayana Health,Gurugram,Gurugram District,Haryana,4.4,Caring doctors and quick emergency response.,,,,,,,,
949,Vijaya Hospital,Oncology,City Health Org,Kolhapur,Kolhapur District,Maharashtra,3.3,Modern equipment but billing could be better.,,,,,,,,
950,Sunrise Health Centre,Urology,Apollo Group,Varanasi,Varanasi District,Uttar Pradesh,4.5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
951,Metro Care Hospital,Neurology,City Health Org,Srinagar,Srinagar District,Jammu & Kashmir,3.7,Exceptional care and professional staff.,,,,,,,,
952,Global Hospital & Research,Radiology,Swasthya Foundation,Srinagar,Srinagar District,Jammu & Kashmir,3.2,Exceptional care and professional staff.,,,,,,,,
953,Harmony Super Speciality Hospital,Oncology,Prime Medical Group,Durgapur,Durgapur District,West Bengal,3.9,Excellent diagnostics and attentive staff.,,,,,,,,
954,LifeCare Clinic,Gastroenterology,Global Health Group,Chandigarh,Chandigarh District,Chandigarh,3.8,Good value for money and efficient treatment.,,,,,,,,
955,Crystal Clinic,Rheumatology,City Health Org,Jamshedpur,Jamshedpur District,Jharkhand,3.3,Good experience overall but long waiting times.,,,,,,,,
956,Yashodha Health Institute,Cardiology,CarePlus Hospitals,Ranchi,Ranchi District,Jharkhand,4.3,Good experience overall but long waiting times.,,,,,,,,
957,City Clinic,Ophthalmology,Fortis Healthcare,Vijayawada,Vijayawada District,Andhra Pradesh,4.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
958,Raj Super Speciality Hospital,Psychiatry,CarePlus Hospitals,Bhopal,Bhopal District,Madhya Pradesh,3.5,Average service; room service needs improvement.,,,,,,,,
959,Sanjeevani Super Speciality Hospital,Oncology,Global Health Group,Noida,Noida District,Uttar Pradesh,3.7,Caring doctors and quick emergency response.,,,,,,,,
960,Apollo Super Speciality Hospital,ENT,Apollo Group,Varanasi,Varanasi District,Uttar Pradesh,3.5,Average service; room service needs improvement.,,,,,,,,
961,Vijaya Super Speciality Hospital,Cardiology,Fortis Healthcare,Trivandrum,Trivandrum District,Kerala,3.6,Good experience overall but long waiting times.,,,,,,,,
962,Crystal Medical Center,Emergency Medicine,CarePlus Hospitals,Salem,Salem District,Tamil Nadu,3.2,Good experience overall but long waiting times.,,,,,,,,
963,Crystal Super Speciality Hospital,Pulmonology,Swasthya Foundation,Agra,Agra District,Uttar Pradesh,3,Average service; room service needs improvement.,,,,,,,,
964,Sujatha Hospital & Research,Psychiatry,CarePlus Hospitals,Jamshedpur,Jamshedpur District,Jharkhand,3.7,Good value for money and efficient treatment.,,,,,,,,
965,City Health Institute,Neurology,Independent,Salem,Salem District,Tamil Nadu,4.9,Exceptional care and professional staff.,,,,,,,,
966,National Care Hospital,Orthopedics,CarePlus Hospitals,Bengaluru,Bengaluru District,Karnataka,3.1,Modern equipment but billing could be better.,,,,,,,,
967,CarePlus Health Institute,Orthopedics,Narayana Health,Jodhpur,Jodhpur District,Rajasthan,3.8,Caring doctors and quick emergency response.,,,,,,,,
968,Yashodha Clinic,Oncology,Fortis Healthcare,Jodhpur,Jodhpur District,Rajasthan,4.1,Modern equipment but billing could be better.,,,,,,,,
969,Fortis Care Hospital,Oncology,Independent,Nashik,Nashik District,Maharashtra,3.7,Good value for money and efficient treatment.,,,,,,,,
970,Prime Super Speciality Hospital,Cardiology,Manipal Hospitals,Mysore,Mysore District,Karnataka,3.4,"Very skilled specialists, especially in their department.",,,,,,,,
971,Crystal Clinic,Emergency Medicine,Prime Medical Group,Nashik,Nashik District,Maharashtra,3.1,Good experience overall but long waiting times.,,,,,,,,
972,Yashodha Health Institute,Cardiology,Swasthya Foundation,Jamshedpur,Jamshedpur District,Jharkhand,3.5,Modern equipment but billing could be better.,,,,,,,,
973,Global Medical Center,General,Max Healthcare,Jamshedpur,Jamshedpur District,Jharkhand,3,"Very skilled specialists, especially in their department.",,,,,,,,
974,Yashodha Care Hospital,Cardiology,Global Health Group,Jodhpur,Jodhpur District,Rajasthan,3.7,Excellent diagnostics and attentive staff.,,,,,,,,
975,Yashodha Health Centre,Neurology,Manipal Hospitals,Salem,Salem District,Tamil Nadu,4.3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
976,Prime Hospital & Research,Ophthalmology,CarePlus Hospitals,Chandigarh,Chandigarh District,Chandigarh,3.9,Average service; room service needs improvement.,,,,,,,,
977,Sunrise Care Hospital,Oncology,Max Healthcare,Noida,Noida District,Uttar Pradesh,4.8,Average service; room service needs improvement.,,,,,,,,
978,Harmony Health Centre,Plastic Surgery,Fortis Healthcare,Pune,Pune District,Maharashtra,3.3,"Very skilled specialists, especially in their department.",,,,,,,,
979,National Hospital & Research,Pediatrics,Global Health Group,Erode,Erode District,Tamil Nadu,4.1,Excellent diagnostics and attentive staff.,,,,,,,,
980,Prime Hospital,General Surgery,Global Health Group,Kochi,Kochi District,Kerala,3.7,"Very skilled specialists, especially in their department.",,,,,,,,
981,Sanjeevani Clinic,Cardiology,Swasthya Foundation,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,4.2,Caring doctors and quick emergency response.,,,,,,,,
982,Harmony Care Hospital,Oncology,Swasthya Foundation,Kanpur,Kanpur District,Uttar Pradesh,4.9,Excellent diagnostics and attentive staff.,,,,,,,,
983,Raj Clinic,Orthopedics,Aster DM Healthcare,Nagpur,Nagpur District,Maharashtra,3.6,Highly recommended for specialized surgery.,,,,,,,,
984,Vijaya Care Hospital,ENT,Global Health Group,Surat,Surat District,Gujarat,3.2,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
985,Sanjeevani Care Hospital,Oncology,Manipal Hospitals,Salem,Salem District,Tamil Nadu,4.6,Excellent diagnostics and attentive staff.,,,,,,,,
986,Yashodha Hospital,Oncology,Aster DM Healthcare,Noida,Noida District,Uttar Pradesh,4.4,Good experience overall but long waiting times.,,,,,,,,
987,National Health Institute,Gastroenterology,Aster DM Healthcare,Durgapur,Durgapur District,West Bengal,4.3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
988,Raj Clinic,Neurology,Narayana Health,Ranchi,Ranchi District,Jharkhand,3.6,"Very skilled specialists, especially in their department.",,,,,,,,
989,Crystal Health Centre,General,Independent,Lucknow,Lucknow District,Uttar Pradesh,4.8,Good experience overall but long waiting times.,,,,,,,,
990,Sujatha Health Centre,Endocrinology,Fortis Healthcare,Srinagar,Srinagar District,Jammu & Kashmir,4.6,Modern equipment but billing could be better.,,,,,,,,
991,Swasth Health Centre,Obstetrics & Gynecology,Fortis Healthcare,Delhi,Delhi District,Delhi,3,Good experience overall but long waiting times.,,,,,,,,
992,Aster Super Speciality Hospital,ENT,CarePlus Hospitals,Raipur,Raipur District,Chhattisgarh,3.3,Exceptional care and professional staff.,,,,,,,,
993,Fortis Health Centre,General,Max Healthcare,Mysore,Mysore District,Karnataka,3.3,Excellent diagnostics and attentive staff.,,,,,,,,
994,Fortis Clinic,Ophthalmology,Aster DM Healthcare,Raipur,Raipur District,Chhattisgarh,3.1,Good value for money and efficient treatment.,,,,,,,,
995,Sujatha Clinic,Pediatrics,Max Healthcare,Chennai,Chennai District,Tamil Nadu,4.6,Exceptional care and professional staff.,,,,,,,,
996,CarePlus Medical Center,Endocrinology,Prime Medical Group,Amritsar,Amritsar District,Punjab,4.5,Highly recommended for specialized surgery.,,,,,,,,
997,Harmony Care Hospital,Gastroenterology,CarePlus Hospitals,Durgapur,Durgapur District,West Bengal,4.1,Excellent diagnostics and attentive staff.,,,,,,,,
998,Raj Clinic,Pediatrics,Apollo Group,Ahmedabad,Ahmedabad District,Gujarat,4.2,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
999,Swasth Care Hospital,Pediatrics,Independent,Bhavnagar,Bhavnagar District,Gujarat,4.5,Good value for money and efficient treatment.,,,,,,,,
1000,Prime Health Centre,General,Global Health Group,Bhavnagar,Bhavnagar District,Gujarat,3.7,Good experience overall but long waiting times.,,,,,,,,
